id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
323,828,KNUCKEY LAGOON,NT,130.932067999999987,-12.432024000000000,5,7942.293174304248168
24048,829,HOLTZE,NT,130.959767099999993,-12.457632970000001,5,12053.154243466129628
20056,829,PINELANDS,NT,130.959767099999993,-12.457632970000001,5,12053.154243466129628
20057,830,ARCHER,NT,130.958076500000004,-12.521396490000001,5,17858.949494915239484
326,830,DRIVER,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
327,830,DURACK,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
328,830,FARRAR,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
329,830,GRAY,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
330,830,MARLOW LAGOON,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
331,830,MOULDEN,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
332,830,PALMERSTON,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
333,830,SHOAL BAY,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
334,830,WOODROFFE,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
335,830,YARRAWONGA,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
336,831,PALMERSTON,NT,130.974878999999987,-12.475071000000000,5,14586.412798663484864
20058,832,BAKEWELL,NT,130.993655100000012,-12.496846760000000,5,17743.141527015210158
20059,832,BELLAMACK,NT,130.983030700000000,-12.515629540000001,5,18676.093029218118318
339,832,GUNN,NT,130.957711999999987,-12.502817000000000,5,16018.600867654882677
20060,832,JOHNSTON,NT,131.006350599999990,-12.492974830000000,5,18379.977435789875017
340,832,MITCHELL,NT,130.957711999999987,-12.502817000000000,5,16018.600867654882677
341,832,ROSEBERY,NT,130.957711999999987,-12.502817000000000,5,16018.600867654882677
342,832,ROSEBERY HEIGHTS,NT,130.957711999999987,-12.502817000000000,5,16018.600867654882677
20061,832,ZUCCOLI,NT,131.005823300000003,-12.510704329999999,5,19767.784753865431412
20062,834,VIRGINIA,NT,131.023487499999987,-12.546864610000000,5,24070.551087736006593
21821,835,Coolalinga,NT,131.041500000000013,-12.523099999999999,5,23442.539220780865435
343,835,HOWARD SPRINGS,NT,131.013741000000010,-12.452567999999999,5,16253.905367902185390
344,835,VIRGINIA,NT,131.013741000000010,-12.452567999999999,5,16253.905367902185390
24061,836,GIRRAWEEN,NT,131.096200000000010,-12.525499999999999,5,28191.517965430084587
345,836,HERBERT,NT,131.100668000000013,-12.557753999999999,5,30783.249869168597797
20063,836,HUMPTY DOO,NT,131.127256399999993,-12.584872470000001,5,34931.967470148119901
347,837,MANTON,NT,131.016647000000006,-12.704767000000000,5,39008.947916268858535
20064,837,NOONAMAH,NT,131.094043999999997,-12.641871710000000,5,37072.980279685907590
